Channel,Time,Program,Year Release,Description,Age Limit,Rating,Number of Ratings,Categories,Presenters
Россия 1,['13:30'],Фантазер,2024 (15 декабря 2024 ожидается выход 11 серии 1 сезона),"Когда специалист по починке игровых автоматов Олег потерял работу, он очень расстроился. На что теперь жить и как зарабатывать? Но мудрая жена Лена поддержала его, как она это делала на протяжении нескольких десятков лет. Всегда можно попробовать заняться тем, что никогда не делали раньше, — решили супруги. И с энтузиазмом принялись воплощать эту идеи в жизнь. Они пробуют самые разные профессии и виды деятельности, от кулинарной фирмы до выгула собак, и не сдаются, даже если что-то идет не по плану.
«Фантазер» — комедийный сериал с Юрием Стояновым и Ириной Розановой о том, что никогда не поздно изменить свою судьбу и открыться новым впечатлениям.",12+,5.6,26 оценок,['комедия'],['Кирилл Васильев']
Россия 1,['15:00'],Юморина,2015 — по н.в.,"На сцену юмористического фестиваля выходят самые известные артисты эстрады, чтобы представить вниманию зрителей свои развлекательные номера. Телешоу «Юморина» — это парад веселых премьер, лучших шуток, монологов и самых смешных миниатюр, которые чередуются с музыкальными номерами. Участниками телепередачи становятся не только мэтры, но и молодые артисты.",16+,4.9,165 оценок,['юмористическое'],"['Анастасия Макеева', 'Юрий Аскаров']"
Россия 1,"['17:00', '19:00']",Песни от всей души,2022 — по н.в.,"В студии программы за одним большим столом собираются талантливые люди со всей страны. В теплой дружеской обстановке они рассказывают о своих семьях, о жизни, о мечтах. В перерывах между откровенными душевными разговорами участники исполняют народные песни и популярные хиты.",12+,6.7,454 оценки,['ток-шоу'],['Андрей Малахов']
Россия 1,['23:00'],Воскресный вечер с Владимиром Соловьевым,2012 — по н.в.,"Социально-политическая передача известного российского журналиста Владимира Соловьева — это авторское ток-шоу, в котором ведущий поднимает самые острые и злободневные проблемы сегодняшней России. Основную часть передачи составляет диалог Владимира Соловьева с приглашенным гостем — экспертом в той или иной области.
Диапазон тем для обсуждения в ток-шоу весьма широк: от политики до спорта. В студии нередко появляются известные музыканты, политики, социологи, спортсмены.",16+,6.5,2 333 оценки,['ток-шоу'],['Владимир Соловьев']
НТВ,"['05:37', '04:50']",Улицы разбитых фонарей,1998 — 2019 (Сериал закончился),"Герои фильма — команда профессионалов Соловец, Волков и Дымов, они борются с преступным миром города на Неве, с гордостью побеждая в каждой схватке с бандитами. Помогают им в этом нелегком деле трое новичков. В каждом эпизоде героев ждут опасные, но увлекательные дела — и убийца-трансвестит, и разные маньяки, и питерские диггеры, и даже дело об НЛО. Для бравых ребят всегда найдется работа на улицах славного города Петербурга, а это значит, что каждый новый день они снова и снова будут вступать в схватку с мафией, преодолевая все трудности.
Большинство серий «Улиц...» снято по произведениям Андрея Кивинова.",16+,7.1,6 939 оценок,['драма'],"['Александр Рогожкин', 'Дмитрий Светозаров', 'Кирилл Капица']"
НТВ,['06:30'],Центральное телевидение,2011 — по н.в.,"Информационная программа «Центральное телевидение» рассказывает о самых интересных новостях — общественных, политических и культурных. Поводом для сюжета может выступить сенсация, курьез или реальная жизненная история. Ньюсмейкеры работают в разных жанрах, среди которых репортаж, интервью, расследование, телемост или ток-шоу. Также в программе можно увидеть сатирические скетчи, актуальную анимацию, живые музыкальные выступления и превью премьерных кинофильмов. Ведущий «Центрального телевидения» Вадим Такменев отбирает новости по принципу того, насколько они будут интересны зрителям.",16+,4.6,3 177 оценок,['новостное'],"['Вадим Такменев', 'Алла Кастерова']"
НТВ,['08:20'],У нас выигрывают!,2017 — по н.в.,"«У нас выигрывают!» — телевизионная лотерея, в каждом выпуске которой разыгрываются ценные призы от «Русского лото» и «Жилищной лотереи». Участников ждут квартиры, загородные дома, автомобили, миллионы рублей, а также встречи со звездными гостями, неожиданные сюрпризы и море положительных эмоций.",16+,5.5,239 оценок,['игровое'],['Виктория Панина']
НТВ,['10:20'],Первая передача,2010 — по н.в.,"«Первая передача» — программа для автомобилистов и про автомобилистов. Ведущий — известный журналист Виктор Травин, президент Коллегии правовой защиты автовладельцев. С кого требовать возмещение ущерба, если вы попали в яму на дороге? Что делать, если вас обманули в автосалоне? Как заставить заплатить за ремонт, если вашу машину заправили некачественным бензином? Всех, кто не представляет своей жизни без «железного коня», и тех, кто только задумывается о его приобретении, ждут ответы на самые актуальные вопросы. «Первая передача» не только расскажет о типичных проблемах автовладельцев, но и поможет их решить. ",16+,6.4,238 оценок,['развлекательное'],"['Виктор Травин', 'Марианна Соломахина', 'Алексей Куличков']"
НТВ,['11:00'],Чудо техники,2012 — по н.в.,"«Чудо техники» — это доходчивый и интересный рассказ о новейших научных разработках, которые способны поменять или уже меняют нашу повседневную жизнь. Автор проекта Сергей Малоземов хорошо знаком зрителям НТВ по репортажам программы «Сегодня», касающимся новых технологий, гаджетов, медицины. Он одним из первых узнает о значимых изобретениях. Новинки и открытия со всего мира создатели проекта подвергнут самому тщательному анализу: кое-что протестируют на себе или специально приглашенных героях, узнают мнения экспертов, постараются проникнуть в саму суть вещей при помощи компьютерной графики и экспериментов в лаборатории.",12+,8.0,240 оценок,['научно-познавательное'],['Сергей Малоземов']
НТВ,['12:00'],Дачный ответ,2008 — по н.в.,"«Дачный ответ» — это ответвление шоу «Квартирный вопрос», в котором команда профессионалов занимается «переделкой» загородных домов. В начале программы ведущие знакомятся с хозяевами выбранного редакцией дома. Обычно это семьи, обладающие интересными увлечениями или необычными домами. Затем хозяева удаляются на некоторое время из своего дома, а строительная бригада под руководством опытного дизайнера приступает к переделке и улучшению их жилища и участка.
В заключительной части программы показывается изначальное состояние дома и участка и сравнивается с тем, что получилось в результате переделки.
В каждом выпуске программы «Дачный ответ» телезрителей знакомят с современными материалами и технологиями, применяемыми в строительстве. Приглашенные дизайнеры шоу проводят мастер-классы по изготовлению или декорированию предметов интерьера.",0+,6.7,640 оценок,['развлекательное'],"['Дарья Субботина', 'Ольга Прохорова', 'Татьяна Грамон', 'Виктория Панина']"
НТВ,['13:00'],НашПотребНадзор,2015 — по н.в.,"Каждый выпуск телепрограммы — это острое журналистское расследование, разоблачение мошенников, которые обогащаются, обманывая рядовых потребителей. Темы телешоу «НашПотребНадзор» разнообразны и актуальны: рост цен на жилищно-коммунальные услуги, фальшивые лекарства в аптеках, обман в супермаркетах. Из телепрограммы можно узнать, на что стоит обратить внимание, чтобы не стать жертвой обмана, и как сэкономить, услышать советы специалистов и познакомиться с результатами специально проведенных журналистами экспериментов.",16+,7.6,257 оценок,['документальное'],['Олег Солнцев']
НТВ,['14:00'],Однажды...,2016 — по н.в.,"«Однажды…» — авторская программа журналиста Сергея Майорова, которая посвящена судьбам известных актеров, режиссеров, музыкантов, спортсменов, выдающихся ученых, политических и общественных деятелей, а также простых людей. Каждый эпизод проекта начинается со слов: «однажды в Москве, Владивостоке, Нью-Йорке…», «однажды 20 лет назад…», «однажды я чуть не умер…», «однажды я проснулся знаменитым». Далее следуют впечатляющие подробности яркой и насыщенной жизни харизматичных героев. Они делятся историями успеха, откровенно рассказывают о взлетах и падениях, о любви и разочаровании.",16+,7.0,148 оценок,['документальное'],['Сергей Майоров']
НТВ,['15:00'],Своя игра,1994 — по н.в.,"Программа «Своя игра» выпускается в России с 1994 года по лицензии американской телеигры Jeopardy! («Рискуй!»).
В игре принимают участие три игрока. Их основная цель — отвечать на вопросы и зарабатывать как можно большее число очков. В начале игры у каждого из игроков на счету 0 очков. Каждое очко в игре равняется 1 рублю. Суть игры заключается в том, что три участника отвечают на вопросы различной стоимости, пытаясь опередить друг друга. Игра состоит из четырёх раундов — трёх основных и финального. Каждый из основных раундов содержит 30 вопросов — 6 тем по 5 вопросов в каждой. Каждый вопрос темы имеет свою стоимость. Чем выше цена вопроса, тем он, как правило, сложнее. Каждый раунд продолжается до тех пор, пока в нём не будут разыграны все вопросы или не истечёт время раунда — 10 минут. Помимо обычных вопросов существуют специальные — «Кот в мешке», «Вопрос-аукцион» и «Вопрос от…». Время от времени в игре появлялись «Вопросы от спонсора».
В 2003 году «Своя игра» получила премию «ТЭФИ» в категории «Телевизионная игра», а в 2005 году бессменный ведущий «Своей игры» Пётр Кулешов получил «ТЭФИ» в номинации «Ведущий телевизионной игры».",0+,7.5,1 468 оценок,['игровое'],['Петр Кулешов']
НТВ,['17:00'],Следствие вели...,2006 — по н.в.,"Вечное противостояние смелых, умных сотрудников правоохранительных органов и дерзких преступников. В центре внимания — резонансные и засекреченные преступления, которые происходили с 1917 года до конца XX века. Детали каждого дела воссоздаются с максимальной точностью: используются реконструкции, кадры документальной хроники, фотоматериалы, архивные документы, свидетельства очевидцев и участников событий. В ремарках, сделанных Леонидом Каневским, дается объяснение исторических явлений эпохи и бытовых деталей, дающих представление о жизни в Советском Союзе и в постсоветское время. 
Над документальным сериалом «Следствие вели…» с Леонидом Каневским в качестве ведущего работали режиссеры Игорь Холодков, Борис Федоров, Александр Ярославцев. Сценаристы криминальной многосерийной ленты — Михаил Бобровник, Светлана Туманова, Татьяна Паук.",16+,7.9,1 778 оценок,['криминал'],"['Игорь Холодков', 'Дмитрий Докучаев', 'Александр Ярославцев']"
НТВ,['19:00'],Итоги недели,2016 — по н.в.,"Информационно телепрограмма посвящена событиям, которые произошли в стране и мире, вызвав широкий общественный резонанс. Серьезные аналитические материалы преподносятся просто и доступно. В новостном телешоу демонстрируются специальные репортажи, интервью с авторитетными экспертами.
С 2016 года бессменной ведущей телешоу «Итоги недели» была известная журналистка Ирада Зейналова. 15 сентября 2024 года вышел в эфир последний выпуск с Зейналовой, которая попрощалась с телезрителями. Отныне она переключилась на дипломатическую карьеру и получила должность посла РФ на Маврикии.
Новым ведущим «Итогов недели» стал опытный журналист, автор документальных фильмов, ведущий вечерних выпусков программы «Сегодня» Владимир Чернышев. Первый выпуск программы с Чернышевым вышел в эфир 22 сентября 2024 года.",16+,6.0,174 оценки,['новостное'],['Владимир Чернышев']
НТВ,['20:20'],Шоу Аватар,2022 — по н.в.,"В каждом выпуске принимают участие от девяти до двенадцати звезд шоу-бизнеса, которые скрываются под аватарами своих любимых героев, созданных с помощью технологий захвата движения и виртуальной реальности. Конкурсанты находятся в специальной комнате, откуда передают аватару, выступающему на сцене, свои голос, мимику и телодвижения. Каждое выступление оценивает звездное жюри из пяти человек, которые пытаются угадать, кто перед ними. Участник, чье имя раскрыто, выбывает из проекта, и в следующем выпуске его место занимает новый герой.
«Шоу Аватар» — технологичный музыкальный проект телеканала НТВ. Ведущий шоу — Вячеслав Макаров.",12+,2.7,130 оценок,['шоу талантов'],['Вячеслав Макаров']
НТВ,['23:00'],Звезды сошлись,2017 — по н.в.,"Участниками телепрограммы становятся медийные персоны — артисты, певцы, режиссеры, продюсеры, ведущие. Темами телешоу «Звезды сошлись» являются самые скандальные события, которые произошли в мире шоу-бизнеса, — от фотосессий, разводов и свадеб до криминальных историй, в которые оказались втянуты звездные персоны. Гости студии откровенно рассказывают о своей жизни и высказывают свое мнение о коллегах. В программе возникают острые дискуссии и открываются тайны, которые артисты хранили годами.",16+,2.9,3 257 оценок,['ток-шоу'],"['Лера Кудрявцева', 'Иосиф Пригожин', 'Антон Привольнов', 'Оскар Кучера', 'Александр Колтовой']"
НТВ,"['00:40', '01:30', '02:20', '03:10']",Основано на реальных событиях,2019 — по н.в.,"Шоу «Основано на реальных событиях» пытается разобраться в громких скандалах, интригах и уголовных делах из жизни богатых и знаменитых. Авторы программы доносят до зрителей факты, которые подкрепляются и дополняются эксклюзивными репортажами, расследованиями и интервью. В эфире шоу появляются материалы, которые никогда раньше не были показаны в эфире, реконструируются реальные события и даются ответы на самые актуальные вопросы о жизни звезд.",16+,6.0,214 оценок,['развлекательное'],['Михаил Генделев']
5 канал,"['05:00', '05:35', '06:20', '07:00', '07:55', '08:45', '09:30', '10:05']",Закон тайги,2024,"Полковник Николай Устюжанин — бывший оперативник военной контрразведки, мастер стрельбы и рукопашного боя, готовый жертвовать собой ради достижения целей. Однажды операция, в которой участвует Николай, проваливается, и погибает один из агентов. Устюжанина, который уверен, что в отделе завелся «крот», отстраняют от службы до конца расследования. Чтобы выманить предателя, который, по расчетам героя, захочет его убить, Устюжанин уезжает в глухую деревню к своему сослуживцу — главе приграничного района, и устраивается на работу управляющим лесного хозяйства. Новая должность оказывается едва ли не опаснее основной работы Николая: ему приходится столкнуться с контрабандистами, браконьерами, черными копателями, и узнать, что некоторые его предшественники пропали без вести или были убиты. Кроме всего прочего, Устюжанин ощутит на себе повышенное женское внимание со стороны доктора Шишкиной, капитана юстиции Лидии и местной бизнес-леди Марины.
Сериал «Закон тайги» — остросюжетный детектив с Александром Дьяченко в главной роли.",16+,7.2,108 оценок,['боевик'],"['Александр Колесник', 'Сергей Горбачев']"
5 канал,"['11:00', '11:55', '12:50', '13:45', '14:40', '15:35', '16:25', '17:20', '18:15', '19:10']",Наш спецназ,2022 — по н.в.,"Виктор Фирсов с детства хотел быть похожим на отца — подполковника Игоря Фирсова, который погиб при исполнении, когда Виктору было 18 лет. Едва вернувшись из армии, Фирсов-младший «унаследовал» работу родителя. Теперь он — умный и сдержанный 45-летний старший оперуполномоченный СОБРа и руководитель группы немедленного реагирования «Трефы». В команде Фирсова (позывной «Пионер») — только лучшие бойцы, которых Виктор набирал и тренировал лично: Сергей Богатов (позывной «Отец»), Михаил Пряников (позывной «Туча»), Юрий Агеев (позывной «Ланцет») и Дмитрий Колодин (позывной «Ромео»). Отряд Фирсова не только выезжает на самые сложные и срочные вызовы, но и самостоятельно расследует преступления. Образцовые спецназовцы готовы пожертвовать собой ради спасения других, но в личной жизни их одолевают сомнения и проблемы. «Пионер» развелся с женой, следователем СК Валентиной Ермошиной, но все еще любит ее; «Ланцет» боится признаться в чувствах официантке из бара; «Туча» встречается с женой влиятельного бизнесмена; а у «Ромео» нет отбоя от прекрасных дам.",16+,6.6,216 оценок,['боевик'],['Виктор Шкуратов']
5 канал,"['20:05', '21:00', '22:00', '23:00', '23:55', '00:45']",Чужой район,2012 — по н.в.,"За приверженность собственным принципам сотрудник уголовного розыска Андрей Фролов получает перевод с должности оперативника на должность простого участкового в самом криминальном районе города. Микрорайон, в котором раньше располагался рабочий поселок имени Красных молотобойцев, теперь зовется «Красный Молот» и имеет дурную славу. На этой спально-рабочей окраине царит разгул преступности и полного беззакония. Фролов сталкивается с местным авторитетом, который держит в страхе весь район. Теперь ему предстоит не только заручиться полным доверием и помощью местных жителей, но и утверждать свои законы на ввереной ему территории.
Сериал «Чужой район» — ироничный детектив с Денисом Рожковым в главной роли. Съемки четвертого сезона начались через десять лет после выхода последних эпизодов третьего сезона.",16+,7.3,1 755 оценок,['комедия'],"['Андрей Коршунов', 'Максим Бриус']"
5 канал,"['01:40', '02:20']",48 часов,2021 (Сериал закончился),"Главные герои — оперативники отдела МВД при городском следственном комитете. На поиски преступника и его задержание им дают всего 48 часов, чтобы подозреваемые не успели уничтожить улики и устранить свидетелей.",16+,7.0,31 оценка,['драма'],['Егор Баринов']
5 канал,"['03:00', '03:35', '04:15']",Последний мент,2015 — 2016 (Сериал закончился),"Главный герой сериала «Последний мент» — капитан милиции Алексей Дивов — получает на службе ранение и погружается в кому на 20 лет. Очнувшись, он с горечью осознает, как изменился мир с 1995 года. Милиция стала полицией, рэкет, «крыши» и братки остались в прошлом, у каждого в кармане сенсорный телефон с доступом в интернет, молодые опера используют в работе современные гаджеты, спирт «Рояль» теперь нигде не купить, но зато на обед все едят какие-то суши и роллы «барабанными палочками». Помимо того что Дивов вынужден привыкать к совершенно новой жизни, ему придется смириться с тем, что его дочь Юля выросла, а жена Лиза вышла замуж за другого.",16+,7.1,802 оценки,['драма'],['Михаил Жерневский']
ТВ Центр - Урал,"['05:35', '06:30', '07:25', '08:15']",Зеркала любви,2017 (Сериал закончился),"У Владимира было все — работа, красавица-жена Альбина, сын. Но в один злополучный день трагическая автомобильная авария навсегда изменила его жизнь. В результате несчастного случая он оказался прикован к постели. Вскоре от него ушла жена, забрав с собой сына, постепенно отвернулись друзья. Проходит 15 лет. Вопреки обстоятельствам, Владимир не только восстановил здоровье и физическую форму, но и смог организовать успешный бизнес, благодаря чему к нему вернулась семья.
Однажды в жизнь героя сериала «Зеркала любви» вновь вмешивается авария: под машину попадает маленький мальчик. Владимир подозревает, что за рулем был его сын. Чувствуя ответственность, Владимир везет ребенка в столичную клинику. Вместе с ними едет старшая сестра мальчика — Юля.",12+,6.0,59 оценок,['драма'],['Мария Маханько']
ТВ Центр - Урал,['09:15'],Евдокия,1961,"Экранизация одноименной повести Веры Пановой. На окраине провинциального городка живет семья Чернышевых: простой рабочий Евдоким, его жена Евдокия и их приемные дети. На первый взгляд это счастливое семейство, живущее в любви и благополучии. Но беда в том, что Евдокия до сих пор не может забыть свою первую любовь. Муж не может терпеть эту косвенную измену и предлагает Евдокии уйти, оставив его с детьми. Женщина отказывается. Их незамысловатая семейная жизнь полна страстей и ярких событий.",0+,7.6,1 048 оценок,['драма'],['Татьяна Лиознова']
ТВ Центр - Урал,['12:40'],Пираты ХХ века,1979,"Советское судно следует домой с грузом опиума для медицинских нужд. По дороге наши благородные моряки спасают утопающего, а тот оказывается злобным пиратом. Дальше — драки, выстрелы, подводные погони и полная победа добра над злом. Бенефис Еременко и Нигматулина — наутро после премьеры оба проснулись звездами.",12+,7.8,2 493 оценки,['триллер'],['Борис Дуров']
ТВ Центр - Урал,"['17:30', '18:25', '19:20', '20:15']",Проклятие брачного договора,2021 (Сериал закончился),"Жизнь переводчицы Дины Резниковой переворачивает с ног на голову обычная рабочая поездка в Петербург. Соседом по купе оказывается друг детства Дины Борис Посадский, в которого женщина до сих пор влюблена. А уже через день Резникова становится подозреваемой в деле об убийстве. Была ли встреча Дины и Бориса случайной? Что он скрывает и так ли безупречен, как ей кажется?
Сериал снят по мотивам одноименного романа Людмилы Мартовой.",16+,6.2,52 оценки,['драма'],['Игорь Нурисламов']
ТВ Центр - Урал,"['21:15', '22:05', '22:55', '23:45']",Заложница,2017 (Сериал закончился),"На трехлетнюю годовщину семейной жизни Инга решает сделать сюрприз своему любимому мужу Максу. Вместо запланированной командировки она остается дома, чтобы приготовить праздничный ужин. Однако домой Макс приходит не один, а с любовницей. В расстроенных чувствах Инга уезжает на дачу, чтобы в тишине спокойно обдумать сложившуюся ситуацию и принять важное для себя решение. Приехав в загородный дом, она неожиданно обнаруживает на чердаке незнакомого раненого мужчину.
Эта встреча навсегда меняет жизнь героини сериала «Заложница». Инге предстоит провести опасное журналистское расследование, связанное с махинациями в одном из медицинских центров, и столкнуться с могущественным врагом из своего ближайшего окружения.",12+,6.5,96 оценок,['драма'],['Александр Сухарев']
ТВ Центр - Урал,"['01:05', '01:45', '02:25', '03:05']",Алиса против правил,2021 — 2022 (Сериал закончился),"Алиса решает стать следователем, чтобы найти и наказать убийцу сестры. Много лет назад Дину нашли на сцене, одетую в театральный костюм Марины Мнишек, со связанными веревкой ногами. По общему мнению, убийцей был режиссер, свихнувшийся от любви к Дине. После убийства Дины он исчез. И теперь, после приезда Алисы в родной город, происходит новое убийство. Обстоятельства гибели очень похожи. Кажется, все эти годы убийца оставался здесь, и теперь затеял с Алисой опасную игру.",16+,6.0,132 оценки,['мелодрама'],['Сергей Краснов']
Культура,['07:05'],Приключения кота Леопольда,1975 — 1987 (Сериал закончился),"Добродушный кот Леопольд тихо-мирно жил в своей квартире, пока ему не начали досаждать две мыши. Эти коварные ребята сделают все, чтобы нарушить покой воспитанного кота. Их изобретательные и смешные пакости кого угодно заставят выйти из себя, но только не Леопольда. Повторяя знаменитую фразу «Ребята, давайте жить дружно», он раз за разом заставляет шкодливых мышат извиняться за свое поведение. Но на следующий день они об этом забывают и снова начинают досаждать терпеливому Леопольду.",6+,8.0,8 889 оценок,['для детей'],['Анатолий Резников']
Культура,['07:30'],Дюймовочка,1964,"Советский мультфильм по мотивам сказки Ганса Христиана Андерсена «Дюймовочка». Маленькая, ростом с дюйм, девочка родилась в самом центре цветка, не уступая ему своей красотой. На прелестную девочку позарилась лягушка, которая присмотрела крохотное создание в жены своему ужасному сыну. Так начались скитания Дюймовочки на пути к своему счастью.",0+,7.8,4 581 оценка,['мультфильмы'],['Леонид Амальрик']
